# x,y,z,vel.x,vel.y,vel.z
13.024926,15.921253,10.619114,0.008833027,0.017290536,-0.029054426
13.110256,13.273393,8.084541,-0.041001506,-0.04315208,0.049897846
10.629954,15.610688,11.057958,0.0055746175,0.049650285,0.0006007942
14.105871,12.559197,9.151884,-0.043890834,-0.027357224,0.05041722
11.379631,13.471259,9.14276,-0.014656205,-0.03687614,0.107651874
10.692907,5.0924215,11.28504,0.008709563,-0.061686266,0.038505763
14.263006,12.360685,11.520069,0.055701885,0.030845528,0.04061711
8.886708,4.183316,11.327012,-0.00908487,-0.047466286,-0.0065170643
9.198485,5.6665983,8.160641,0.010842002,0.05861745,0.055494048
8.65241,13.837312,10.707717,-0.013151251,0.037448663,0.10017715
5.4779387,12.313083,11.800417,-0.05432348,0.02778704,0.02875689
12.013818,4.9597263,8.624869,-0.021653436,0.05419518,0.0132425735
4.225216,9.891691,11.096286,-0.048206452,-0.0009041352,-0.004519458
12.849062,7.446278,10.933392,0.032504205,-0.029134747,0.1029004
5.8266177,14.628951,8.570654,0.028113954,-0.03118289,-0.012294309
13.080749,13.643567,9.884032,-0.005469643,-0.0064688832,0.06075384
5.2809668,10.858404,10.505813,-0.03413987,0.0062101292,0.056731254
13.130522,7.087644,9.184623,-0.034304187,0.031913526,0.08725689
9.92968,15.011439,11.887126,-0.00084670633,0.06034167,0.030948885
6.2383766,9.790699,9.125202,0.04075793,0.0022678177,0.106304124
4.7246428,13.34612,10.9898815,-0.030276146,0.01920394,-0.019733524
14.055997,7.9665303,10.157157,0.010015009,-0.005021013,0.0792218
11.812962,14.726025,11.475761,0.022522535,0.058711648,0.031378638
3.806393,8.275026,10.538804,-0.01940388,-0.0054041506,-0.02857247
4.595413,6.7198515,9.011414,0.029255,0.01775543,-0.021026457
14.858831,8.853547,11.660536,0.06107626,-0.014411091,0.03349879
4.3799815,13.164406,8.75511,0.03088928,-0.017392514,-0.018490897
10.646596,15.45478,9.918872,-0.0006262362,-0.0052830186,0.0036884837
4.115617,13.458001,9.75859,0.006097326,-0.003583138,-0.031914387
14.858801,7.4132185,11.189466,0.048582558,-0.025864912,0.008454851
5.191579,12.420611,8.6061735,0.052825943,-0.026593164,0.015419243
7.6395903,3.8361423,10.984513,-0.0101699345,-0.026557256,-0.023929711
16.453829,7.761658,10.262585,0.0072200666,-0.0025040908,-0.031792767
8.444168,15.385574,9.058775,0.013231628,-0.0458018,0.0014281875
14.382686,11.408241,9.047969,-0.05213487,-0.016751945,0.06481798
